Comment,Designator,Footprint,LCSC Part #,Quantity Per PCB
STM32L432KCU3,U1,UFQFPN-32 5x5mm,C1337558,1
BMA456,U2,LGA-12 2x2mm,C189518,1
"PCF8563TS/5,118",U4,TSSOP-8 3mm,C27397,1
BQ25180YBGR,U5,DSBGA-8 1.1x1.6mm,C3682423,1
TPS63802DLAR,U6,VSON-10 2x3mm,C2845237,1
TYPE-C-31-M-12,J1,HRO 12-pin mid-mount SMT/TH shell,C165948,1
SM02B-SRSS-TB(LF)(SN),J2,JST-SH side-entry SMT 2P,C160402,1
TS-1806SA-2x4x3.5DY-180X,"SW1,SW2",Side-actuated SMD 2x4x3.5mm,C51927172,2
LCM1234A3523F,M1,12mm dia x 3.4mm body; wire leads,C7424783,1
2N7002,Q1,SOT-23,C8545,1
AO3400A,Q2,SOT-23,C20917,1
LESD5Z5.0CT1G,D1,SOD-523,C136167,1
1N5819WS,D2,SOD-323,C5451629,1
DFE252012P-R47M=P2,L1,2520 shielded power inductor,C237552,1
FC-135 32.7680KA-AG3,Y1,FC-135 3.2x1.5mm,C7275970,1
0402WGF5101TCE,"R1,R2",0402,C25905,2
0402WGF1002TCE,"R3,R7,R10,R17",0402,C25744,4
0402WGF5103TCE,R4,0402,C11616,1
0402WGF9102TCE,R5,0402,C4147,1
0402WGF1003TCE,"R6,R11,R16,R19,R20,R22",0402,C25741,6
0402WGF4701TCE,"R8,R9",0402,C25900,2
0402WGF1004TCE,R12,0402,C26083,1
0402WGF3303TCE,R13,0402,C25778,1
0402WGF220JTCE,R14,0402,C25092,1
0402WGF1000TCE,"R15,R21",0402,C25076,2
CL05A105KA5NQNC,"C1,C3,C11",0402,C52923,3
CL21A106KAYNNNE,"C2,C4",0805,C15850,2
CL21A226MAQNNNE,"C5,C23",0805,C45783,2
CC0402KRX7R7BB104,"C8,C9,C10,C13,C14,C15,C16,C17,C22",0402,C60474,9
CL10A475KO8NNNC,C12,0603,C19666,1
SM06B-SRSS-TB(LF)(SN),J3,JST-SH 1.0mm right-angle SMT 6P,C160405,1
AFC24-S15FIA-00,J4,Right-angle SMT; 0.3mm FPC; 2mm height,C6709462,1
