Reference,Quantity,Component,Manufacturer,Exact MPN,Value,JLCPCB/LCSC #,Package/Footprint,Purpose,Current Availability,Required for 5 Boards,Available Order Qty,Stock Checked UTC,Source URL
U1,1,Low-power MCU,STMicroelectronics,STM32L432KCU3,256KB Flash / 64KB SRAM,C1337558,UFQFPN-32 5x5mm,Main controller,JLCPCB SMT; 22 stock / 17 available to order; checked 2026-09-08,5,17,2026-09-08T15:44:04.170719+00:00,https://jlcpcb.com/partdetail/C1337558
U2,1,3-axis accelerometer,Bosch Sensortec,BMA456,I2C address 0x18; hardware step counter,C189518,LGA-12 2x2mm,Steps motion and wrist detection,JLCPCB SMT; 2821 stock / 2809 available to order; checked 2026-09-08,5,2809,2026-09-08T15:43:50.307632+00:00,https://jlcpcb.com/partdetail/C189518
U4,1,RTC,NXP Semiconductors,"PCF8563TS/5,118",I2C RTC,C27397,TSSOP-8 3mm,Time date alarm and timer,JLCPCB SMT; 36615 stock / 36455 available to order; checked 2026-09-08,5,36455,2026-09-08T15:42:50.323652+00:00,https://jlcpcb.com/partdetail/C27397
U5,1,Li-ion charger and power path,Texas Instruments,BQ25180YBGR,1-cell 4.20V configuration,C3682423,DSBGA-8 1.1x1.6mm,USB charging and system power path,JLCPCB SMT; 5777 stock / 5762 available to order; checked 2026-09-08,5,5762,2026-09-08T15:42:50.470525+00:00,https://jlcpcb.com/partdetail/C3682423
U6,1,Low-Iq buck-boost regulator,Texas Instruments,TPS63802DLAR,3.30V adjustable,C2845237,VSON-10 2x3mm,Regulated 3V3 rail,JLCPCB SMT; 5776 stock / 5774 available to order; checked 2026-09-08,5,5774,2026-09-08T15:42:52.027431+00:00,https://jlcpcb.com/partdetail/C2845237
LCD1,1,Complete round IPS TFT LCD,EastRising / BuyDisplay,ER-TFT1.28-3,1.28in 240x240 GC9A01A 4-wire SPI,External,Plug-in 15-pin 0.5mm FPC; 35.59x37.74x1.6mm,Round graphical UI,External; live stock not verified (supplier page returned HTTP 403 on 2026-09-08),5,Not verified,,https://www.buydisplay.com/1-28-inch-tft-lcd-display-240x240-round-circle-screen-for-smart-watch
J1,1,USB-C receptacle,HRO,TYPE-C-31-M-12,USB-C sink only,C165948,HRO 12-pin mid-mount SMT/TH shell,5V charging input,JLCPCB SMT; 286362 stock / 275736 available to order; checked 2026-09-08,5,275736,2026-09-08T15:42:52.670248+00:00,https://jlcpcb.com/partdetail/C165948
J2,1,Battery connector,JST,SM02B-SRSS-TB(LF)(SN),2-pin 1.0mm,C160402,JST-SH side-entry SMT 2P,External LiPo connection,JLCPCB SMT; 82920 stock / 81231 available to order; checked 2026-09-08,5,81231,2026-09-08T15:42:52.579442+00:00,https://jlcpcb.com/partdetail/C160402
SW1; SW2,2,Side tactile switch,CAX,TS-1806SA-2x4x3.5DY-180X,Momentary SPST,C51927172,Side-actuated SMD 2x4x3.5mm,Menu and back/select,JLCPCB SMT; 2018 stock / 2018 available to order; checked 2026-09-08,10,2018,2026-09-08T15:43:22.635776+00:00,https://jlcpcb.com/partdetail/C51927172
M1,1,Coin ERM vibration motor,LEADER,LCM1234A3523F,3.7V rated; operated at 3.3V,C7424783,12mm dia x 3.4mm body; wire leads,Haptic alerts; manual wire attachment,JLCPCB Manual lead soldering; 100 stock / 98 available to order; checked 2026-09-08,5,98,2026-09-08T15:46:14.050379+00:00,https://jlcpcb.com/partdetail/C7424783
BT1,1,Protected LiPo battery,LiPol Battery Co.,LP403035,3.7V 400mAh 1S PCM,External,4x30x35mm pouch with leads,Main energy storage,External/custom pack; quantity and polarized JST-SH lead require supplier confirmation,5,Not verified,,https://www.lipolbattery.com/LiPo-Battery-Datahseet/LiPo_Battery_LP403035_3.7V_400mAh.pdf
Q1,1,Backlight MOSFET,Jiangsu Changjing Electronics,2N7002,60V N-MOSFET,C8545,SOT-23,LCD backlight low-side PWM,JLCPCB SMT; 2138459 stock / 2011521 available to order; checked 2026-09-08,5,2011521,2026-09-08T15:42:53.804450+00:00,https://jlcpcb.com/partdetail/C8545
